fecha	cols	rows	boosting	objective	metric	first_metric_only	boost_from_average	feature_pre_filter	force_row_wise	verbosity	max_depth	min_gain_to_split	min_sum_hessian_in_leaf	lambda_l1	lambda_l2	max_bin	num_iterations	feature_fraction	bagging_fraction	pos_bagging_fraction	neg_bagging_fraction	is_unbalance	scale_pos_weight	drop_rate	max_drop	skip_drop	extra_trees	seed	learning_rate	num_leaves	min_data_in_leaf	estimulos	Validation	Public	ganancia	iteracion_bayesiana
20231015 225500	1066	310849	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	4360	0.8	1	1	1	FALSE	1	0.1	50	0.5	TRUE	221729	0.0253061820023383	52	16290	11000	85.03	155.12	240.15	11
20231015 225912	1066	310849	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	745	0.8	1	1	1	FALSE	1	0.1	50	0.5	TRUE	221729	0.0935203514325743	85	7044	11000	84.26	157.29	241.55	12
20231015 230335	1066	310849	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	733	0.8	1	1	1	FALSE	1	0.1	50	0.5	TRUE	221729	0.0605097998149724	79	8431	11000	85.84	166.25	252.09	13
20231015 230832	1066	310849	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	1374	0.8	1	1	1	FALSE	1	0.1	50	0.5	TRUE	221729	0.0620305678651454	63	12830	11000	85.42	152.67	238.09	14
20231015 231647	1066	310849	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	3046	0.8	1	1	1	FALSE	1	0.1	50	0.5	TRUE	221729	0.0565170297486945	36	18161	11000	86.11	161.07	247.18	15
20231015 232005	1066	310849	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	1291	0.8	1	1	1	FALSE	1	0.1	50	0.5	TRUE	221729	0.0379517154352639	4	16617	11000	79.9	146.02	225.92	16
20231015 232425	1066	310849	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	752	0.8	1	1	1	FALSE	1	0.1	50	0.5	TRUE	221729	0.0560188182175518	75	3421	11000	86.13	148.82	234.95	17
20231015 232840	1066	310849	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	1061	0.8	1	1	1	FALSE	1	0.1	50	0.5	TRUE	221729	0.0616139696206771	26	12318	11000	86.45	156.94	243.39	18
20231015 233241	1066	310849	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	716	0.8	1	1	1	FALSE	1	0.1	50	0.5	TRUE	221729	0.0682969571365619	74	5070	11000	85.51	151.48	236.99	19
20231015 234728	1066	310849	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	5317	0.8	1	1	1	FALSE	1	0.1	50	0.5	TRUE	221729	0.0254010956302816	32	17142	11000	84.83	157.85	242.68	20
